Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,TempRange,HumidityRange,CloudRange,PressureRange,WindSpeedRange,AvgMinTemp,AvgMaxTemp,AvgRainfall,AvgEvaporation,AvgSunshine,AvgTempRange,AvgHumidityRange,AvgPressureRange,AvgWindSpeedRange,AvgHumidity9am,AvgHumidity3pm,Month,SumRainfallAmount
Adelaide,8.8,15.7,5.0,1.6,2.6,NW,48.0,13.0,15.0,92.0,67.0,1017.4,1017.7,4.45,4.51,13.5,14.9,1,0,6.899999999999999,-25.0,0.05999999999999961,0.3000000000000682,2.0,8.8,15.7,5.0,1.6,2.6,6.899999999999999,-25.0,0.3000000000000682,2.0,92.0,67.0,July,5.0
Adelaide,12.7,15.8,0.8,1.4,7.8,SW,35.0,13.0,15.0,75.0,52.0,1022.4,1022.6,4.45,4.51,13.7,15.5,0,0,3.1000000000000014,-23.0,0.05999999999999961,0.20000000000004547,2.0,8.8,15.7,5.0,1.6,2.6,6.899999999999999,-25.0,0.3000000000000682,2.0,92.0,67.0,July,5.0
Adelaide,6.2,15.1,0.0,1.8,2.1,W,20.0,2.0,11.0,81.0,56.0,1027.8,1026.5,4.45,4.51,9.3,13.9,0,0,8.899999999999999,-25.0,0.05999999999999961,-1.2999999999999545,9.0,10.75,15.75,2.9,1.5,5.2,5.0,-24.0,0.25000000000005684,2.0,83.5,59.5,July,5.8
Adelaide,5.3,15.9,0.0,1.4,8.0,NNE,30.0,6.0,13.0,71.0,46.0,1028.7,1025.6,4.45,4.51,10.2,15.3,0,0,10.600000000000001,-25.0,0.05999999999999961,-3.1000000000001364,7.0,9.233333333333333,15.533333333333333,1.9333333333333333,1.5999999999999999,4.166666666666667,6.3,-24.333333333333332,-0.2666666666666136,4.333333333333333,82.66666666666667,58.333333333333336,July,5.8
Adelaide,9.8,15.4,0.0,5.47,0.9,N,30.0,9.0,9.0,56.0,67.0,1023.6,1020.2,4.45,4.51,11.3,13.8,0,0,5.6,11.0,0.05999999999999961,-3.3999999999999773,0.0,8.25,15.625,1.45,1.55,5.125,7.375,-24.5,-0.9749999999999943,5.0,79.75,55.25,July,5.8
Adelaide,11.3,15.7,2.36,5.47,1.5,NNW,52.0,15.0,22.0,62.0,62.0,1019.5,1016.2,4.45,4.51,13.0,14.4,0,1,4.399999999999999,0.0,0.05999999999999961,-3.2999999999999545,7.0,8.559999999999999,15.580000000000002,1.16,2.334,4.279999999999999,7.0200000000000005,-17.4,-1.4599999999999909,4.0,75.0,57.6,July,5.8
Adelaide,7.6,11.2,16.2,4.6,1.1,WSW,46.0,17.0,13.0,83.0,88.0,1015.9,1017.9,4.45,4.51,9.8,9.3,1,1,3.5999999999999996,5.0,0.05999999999999961,2.0,-4.0,9.016666666666667,15.6,1.36,2.856666666666667,3.8166666666666664,6.583333333333333,-14.5,-1.7666666666666515,4.5,72.83333333333333,58.333333333333336,July,8.16
Adelaide,5.3,13.5,17.0,0.6,2.1,SW,43.0,11.0,22.0,73.0,91.0,1025.8,1025.9,4.45,4.51,10.9,10.8,1,1,8.2,18.0,0.05999999999999961,0.10000000000013642,11.0,8.814285714285715,14.971428571428572,3.48,3.1057142857142854,3.4285714285714284,6.157142857142857,-11.714285714285714,-1.2285714285714155,3.2857142857142856,74.28571428571429,62.57142857142857,July,24.36
Adelaide,8.4,14.3,1.8,1.6,0.8,NW,41.0,9.0,19.0,90.0,64.0,1025.8,1022.7,4.45,4.51,10.8,13.5,1,1,5.9,-26.0,0.05999999999999961,-3.099999999999909,10.0,8.375,14.7875,5.17,2.7925,3.2625,6.4125,-8.0,-1.0624999999999716,4.25,74.125,66.125,July,41.36
Adelaide,9.5,13.1,9.0,1.2,7.2,WSW,52.0,24.0,20.0,54.0,66.0,1019.8,1019.6,4.45,4.51,10.9,11.2,1,0,3.5999999999999996,12.0,0.05999999999999961,-0.1999999999999318,-4.0,8.377777777777778,14.733333333333333,4.795555555555556,2.6599999999999997,2.988888888888889,6.355555555555555,-10.0,-1.2888888888888534,4.888888888888889,75.88888888888889,65.88888888888889,July,43.16
Adelaide,8.2,14.0,0.2,2.8,4.3,SW,28.0,9.0,13.0,70.0,43.0,1023.8,1021.2,4.45,4.51,10.0,13.5,0,0,5.800000000000001,-27.0,0.05999999999999961,-2.599999999999909,4.0,8.49,14.569999999999999,5.215999999999999,2.5140000000000002,3.41,6.08,-7.8,-1.1799999999999613,4.0,73.7,65.9,July,52.16
Adelaide,8.1,15.8,2.36,5.47,6.1,N,48.0,24.0,22.0,65.0,42.0,1014.0,1009.8,4.45,4.51,9.5,15.6,0,0,7.700000000000001,-23.0,0.05999999999999961,-4.2000000000000455,-2.0,8.430000000000001,14.4,4.736,2.6339999999999995,3.5799999999999996,5.970000000000001,-8.0,-1.4699999999999591,4.2,71.5,63.5,July,47.36
Adelaide,9.4,16.8,2.36,5.47,9.1,NNW,54.0,17.0,28.0,67.0,47.0,1011.2,1009.5,4.45,4.51,11.7,16.5,0,1,7.4,-20.0,0.05999999999999961,-1.7000000000000455,11.0,7.970000000000001,14.4,4.892,3.041,3.41,6.43,-8.0,-1.9099999999999682,3.8,70.5,62.5,July,48.92
Adelaide,10.0,15.4,3.8,7.0,0.5,N,48.0,15.0,19.0,85.0,72.0,1014.0,1015.4,4.45,4.51,13.2,15.2,1,1,5.4,-13.0,0.05999999999999961,1.3999999999999773,4.0,8.290000000000001,14.570000000000002,5.128,3.408,4.11,6.279999999999999,-7.5,-1.9499999999999773,4.0,69.1,61.6,July,51.28
Adelaide,11.1,14.7,4.0,2.8,2.3,WSW,43.0,17.0,24.0,91.0,72.0,1020.4,1020.1,4.45,4.51,12.0,13.0,1,0,3.5999999999999996,-19.0,0.05999999999999961,-0.2999999999999545,7.0,8.76,14.52,5.508000000000001,3.968,3.3600000000000003,5.76,-6.3,-1.4999999999999658,3.7,70.5,64.2,July,55.080000000000005
Adelaide,6.3,14.1,0.2,1.6,3.8,NNW,39.0,7.0,19.0,74.0,52.0,1019.9,1015.3,4.45,4.51,10.0,13.9,0,0,7.8,-22.0,0.05999999999999961,-4.600000000000023,12.0,8.89,14.45,5.908,3.7009999999999996,3.5,5.56,-9.3,-1.1899999999999635,4.4,74.0,64.7,July,59.080000000000005
