id,occupation,credit_rating,number_of_late_payments,debt_to_income_ratio,credit_utilization_ratio
1,Engineer,Fair,5,0.27,0.41
2,Clerk,Fair,4,0.43,0.39
3,Manager,Fair,1,0.4,0.35
4,Nurse,Fair,2,0.3,0.52
5,Clerk,Poor,4,0.66,0.51
6,Salesperson,Good,9,0.19,0.2
7,Manager,Good,2,0.29,0.4
8,Engineer,Fair,2,0.26,0.41
9,Nurse,Good,2,0.19,0.34
10,Clerk,Fair,7,0.59,0.27
11,Nurse,Good,2,0.28,0.39
12,Teacher,Good,1,0.31,0.39
13,Engineer,Good,4,0.23,0.33
14,Teacher,Fair,1,0.18,0.42
15,Nurse,Good,0,0.22,0.3
16,Salesperson,Good,0,0.29,0.35
17,Teacher,Poor,7,0.5,0.7
18,Engineer,Fair,1,0.43,0.12
19,Clerk,Fair,2,0.3,0.42
20,Clerk,Fair,4,0.39,0.49
21,Clerk,Good,1,0.21,0.32
22,Salesperson,Good,0,0.22,0.38
23,Manager,Fair,5,0.25,0.64
24,Salesperson,Good,0,0.19,0.19
25,Salesperson,Good,2,0.2,0.19
26,Salesperson,Fair,3,0.38,0.53
27,Salesperson,Fair,2,0.38,0.56
28,Engineer,Fair,5,0.27,0.47
29,Teacher,Good,5,0.27,0.35
30,Salesperson,Good,3,0.24,0.37
31,Teacher,Poor,6,0.43,0.55
32,Clerk,Fair,7,0.32,0.52
33,Nurse,Fair,4,0.39,0.18
34,Teacher,Fair,6,0.39,0.3
35,Engineer,Good,2,0.33,0.31
36,Engineer,Fair,2,0.72,0.39
37,Nurse,Good,1,0.21,0.36
38,Manager,Good,0,0.26,0.27
39,Teacher,Fair,4,0.43,0.35
40,Clerk,Poor,4,0.66,0.57
41,Teacher,Poor,4,0.43,0.46
42,Salesperson,Poor,3,0.68,0.6
43,Salesperson,Poor,4,0.44,0.46
44,Engineer,Poor,3,0.45,0.51
45,Nurse,Fair,5,0.43,0.43
46,Engineer,Fair,5,0.32,0.42
47,Engineer,Good,0,0.25,0.38
48,Clerk,Good,1,0.2,0.38
49,Manager,Fair,4,0.28,0.47
50,Engineer,Fair,7,0.31,0.43
51,Engineer,Fair,4,0.28,0.53
52,Teacher,Fair,5,0.38,0.34
53,Teacher,Poor,6,0.44,0.54
54,Nurse,Fair,3,0.21,0.44
55,Engineer,Fair,1,0.41,0.43
56,Teacher,Fair,10,0.41,0.34
57,Nurse,Fair,4,0.38,0.45
58,Engineer,Fair,3,0.19,0.48
59,Nurse,Fair,3,0.4,0.34
60,Manager,Good,4,0.32,0.38
61,Salesperson,Fair,7,0.21,0.47
62,Teacher,Good,2,0.28,0.4
63,Manager,Fair,3,0.32,0.56
64,Engineer,Fair,2,0.21,0.6
65,Nurse,Fair,3,0.3,0.6
66,Salesperson,Fair,6,0.35,0.41
67,Teacher,Fair,1,0.43,0.27
68,Clerk,Fair,4,0.26,0.51
69,Teacher,Good,1,0.27,0.4
70,Teacher,Fair,4,0.25,0.47
71,Manager,Fair,1,0.43,0.33
72,Engineer,Poor,8,0.43,0.6
73,Salesperson,Fair,4,0.45,0.43
74,Nurse,Good,1,0.31,0.38
75,Salesperson,Good,0,0.27,0.25
76,Salesperson,Fair,13,0.32,0.48
77,Teacher,Fair,5,0.67,0.43
78,Teacher,Fair,6,0.26,0.5
79,Salesperson,Good,0,0.33,0.33
80,Engineer,Fair,2,0.2,0.43
81,Salesperson,Fair,11,0.31,0.55
82,Manager,Good,5,0.23,0.33
83,Manager,Poor,1,0.44,0.53
84,Teacher,Fair,5,0.44,0.21
85,Manager,Good,2,0.25,0.27
86,Salesperson,Good,0,0.31,0.33
87,Manager,Good,3,0.23,0.3
88,Salesperson,Fair,4,0.4,0.45
89,Teacher,Fair,5,0.39,0.34
90,Teacher,Fair,7,0.41,0.42
91,Engineer,Fair,1,0.67,0.4
92,Nurse,Fair,1,0.32,0.41
93,Engineer,Good,2,0.32,0.35
94,Engineer,Fair,1,0.4,0.49
95,Clerk,Fair,2,0.27,0.45
96,Engineer,Fair,4,0.43,0.42
97,Engineer,Fair,2,0.26,0.46
98,Nurse,Fair,1,0.39,0.64
99,Engineer,Good,0,0.2,0.36
100,Teacher,Fair,3,0.29,0.54
101,Manager,Good,0,0.32,0.29
102,Teacher,Good,3,0.33,0.37
103,Teacher,Fair,4,0.39,0.49
104,Nurse,Fair,2,0.32,0.49
105,Engineer,Fair,7,0.31,0.53
106,Nurse,Poor,3,0.67,0.53
107,Engineer,Good,1,0.22,0.3
108,Clerk,Fair,2,0.32,0.44
109,Teacher,Fair,9,0.42,0.29
110,Nurse,Fair,2,0.29,0.42
111,Engineer,Fair,2,0.24,0.42
112,Manager,Good,0,0.24,0.33
113,Manager,Good,2,0.23,0.29
114,Nurse,Poor,1,0.55,0.49
115,Salesperson,Good,0,0.29,0.29
116,Clerk,Fair,2,0.35,0.37
117,Engineer,Poor,9,0.45,0.54
118,Nurse,Fair,9,0.24,0.42
119,Manager,Fair,3,0.35,0.55
120,Clerk,Good,2,0.18,0.37
121,Teacher,Good,0,0.19,0.27
122,Engineer,Good,4,0.22,0.38
123,Clerk,Fair,2,0.21,0.52
124,Manager,Good,0,0.3,0.29
125,Teacher,Good,1,0.34,0.38
126,Manager,Fair,2,0.52,0.37
127,Teacher,Poor,4,0.44,0.48
128,Salesperson,Fair,1,0.27,0.49
129,Clerk,Good,1,0.27,0.17
130,Clerk,Fair,5,0.32,0.53
131,Engineer,Fair,2,0.4,0.24
132,Clerk,Good,1,0.18,0.24
133,Engineer,Good,3,0.2,0.39
134,Manager,Good,1,0.32,0.27
135,Engineer,Fair,10,0.2,0.42
136,Teacher,Fair,1,0.39,0.5
137,Nurse,Fair,4,0.52,0.32
138,Salesperson,Good,1,0.28,0.3
139,Engineer,Good,1,0.27,0.39
140,Teacher,Fair,4,0.31,0.47
